model,variable,description,unit,notes
HRDPS-WEonG,BSNOW,Presence of blowing snow,Binary,
HRDPS-WEonG,CFRZR,Probability of freezing rain,%,
HRDPS-WEonG,CICEP,Probability of ice pellets,%,
HRDPS-WEonG,CONDARAIN,Conditional amount of liquid precipitation,mm,
HRDPS-WEonG,CONDASNOW,Conditional amount of solid snow,mm,
HRDPS-WEonG,CONDICEP,Conditional amount of solide ice pellets,mm,
HRDPS-WEonG,CP,Character of precipitation,Categorical,0=none; 1=showers; 2=intermittent; 3=continuous
HRDPS-WEonG,CRAIN,Probability of rain,%,
HRDPS-WEonG,CSNOW,Probability of snow,%,
HRDPS-WEonG,DIST,Model orography,m,
HRDPS-WEonG,DPT,Dew point temperature,C,
HRDPS-WEonG,DPTYPE,Dominant precipitation type,Categorical,101=rain; 110=hail; 111=drizzle; 203=freezing rain; 212=freezing drizzle; 308=ice pellets; 405=snow; 409=snow pellets; 413=ice crystals; 414=snow grains
HRDPS-WEonG,FZPRATE,Conditional freezing precipitation amount,mm,
HRDPS-WEonG,GUST,Gust,m/s,
HRDPS-WEonG,HSNOWL,Height of snow level,m,
HRDPS-WEonG,LAND,Water/land mask,fraction,
HRDPS-WEonG,PARAIN,Probability of liquid precipitation,%,
HRDPS-WEonG,PBSNOW,Probability of blowing snow,%,
HRDPS-WEonG,PDZ,Probability of drizzle,%,
HRDPS-WEonG,PFRDZ,Probability of freezing drizzle,%,
HRDPS-WEonG,PFRZR,Probability of freezing precipitation,%,
HRDPS-WEonG,POP,Probability of precipitation,%,
HRDPS-WEonG,PRATE,Conditional precipitation rate,mm,
HRDPS-WEonG,PSNOWS,Probability of snow squalls,%,
HRDPS-WEonG,PTYPE,Instantaneous precipitation type,Categorical,1=rain; 2=rain/snow; 3=freezing rain; 4=ice pellets; 5=snow; 6=none; 7=drizzle; 8=freezing drizzlee; 9=freezing rain/ice pellets
HRDPS-WEonG,SCNDPTYPE,Secondary precipitation type,Categorical,101=rain; 110=hail; 111=drizzle; 203=freezing rain; 212=freezing drizzle; 308=ice pellets; 405=snow; 409=snow pellets; 413=ice crystals; 414=snow grains
HRDPS-WEonG,SK,day/night sky state (combined cloud cover and opacity),Categorical,0-1=sunny/clear; 2-3=mainly sunny/cloudy periods; 4-5-6=mix of sun and clouds/partly cloudy; 7-8=mainly cloudy/mainly cloudy; 9=cloudy/cloudy; 10=cloudy/overcast
HRDPS-WEonG,TMP,Temperature,C,
HRDPS-WEonG,TPII,Total precipitation intensity index,Categorical,0=no intensity; 1=light; 2=moderate; 3=heavy
HRDPS-WEonG,TSTM,Probability of thunderstorm occurence,%,
HRDPS-WEonG,VISIFOG,Visibility through ice fog,m,
HRDPS-WEonG,VISLFOG,Visibility through liquid fog,m,
HRDPS-WEonG,WDIR,Wind direction,True degree,
HRDPS-WEonG,WIND,Wind speed,m/s,
